HDI rank,Country,HUMAN DEVELOPMENT,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
83,Cuba,HIGH,0.764,73.7,14.4,12.5,7879,37,73
84,Peru,HIGH,0.762,72.4,15.4,9.9,12246,13,85
85,Armenia,HIGH,0.759,72,13.1,11.3,13158,4,87
86,Mexico,HIGH,0.758,70.2,14.9,9.2,17896,-16,88
87,Brazil,HIGH,0.754,72.8,15.6,8.1,14370,-5,86
88,Colombia,HIGH,0.752,72.8,14.4,8.9,14384,-7,88
89,Saint Vincent and the Grenadines,HIGH,0.751,69.6,14.7,10.8,11961,11,82
90,Maldives,HIGH,0.747,79.9,12.6,7.3,15448,-14,97
91,Algeria,HIGH,0.745,76.4,14.6,8.1,10800,13,96
91,Azerbaijan,HIGH,0.745,69.4,13.5,10.5,14257,-8,100
91,Tonga,HIGH,0.745,71,16,11.4,6822,34,90
91,Turkmenistan,HIGH,0.745,69.3,13.2,11.3,13021,-1,93
95,Ecuador,HIGH,0.74,73.7,14.6,8.8,10312,11,99
96,Mongolia,HIGH,0.739,71,15,9.4,10588,9,90
97,Egypt,HIGH,0.731,70.2,13.8,9.6,11732,4,97
97,Tunisia,HIGH,0.731,73.8,15.4,7.4,10258,10,94
99,Fiji,HIGH,0.73,67.1,14.7,10.9,9980,9,94
99,Suriname,HIGH,0.73,70.3,13,9.8,12672,-6,92
101,Uzbekistan,HIGH,0.727,70.9,12.5,11.9,7917,18,107
102,Dominica,HIGH,0.72,72.8,13.3,8.1,11488,0,106
102,Jordan,HIGH,0.72,74.3,10.6,10.4,9924,8,104
104,Libya,HIGH,0.718,71.9,12.9,7.6,15336,-27,117
105,Paraguay,HIGH,0.717,70.3,13,8.9,12349,-10,100
106,"Palestine, State of",HIGH,0.715,73.5,13.4,9.9,6583,21,109
106,Saint Lucia,HIGH,0.715,71.1,12.9,8.5,12048,-7,104
108,Guyana,HIGH,0.714,65.7,12.5,8.6,22465,-47,107
109,South Africa,HIGH,0.713,62.3,13.6,11.4,12948,-17,102
110,Jamaica,HIGH,0.709,70.5,13.4,9.2,8834,4,110
111,Samoa,HIGH,0.707,72.8,12.4,11.4,5308,24,112
112,Gabon,HIGH,0.706,65.8,13,9.4,13367,-25,113
112,Lebanon,HIGH,0.706,75,11.3,8.7,9526,-1,103
114,Indonesia,HIGH,0.705,67.6,13.7,8.6,11466,-11,116
115,Viet Nam,HIGH,0.703,73.6,13,8.4,7867,6,113
116,Philippines,MEDIUM ,0.699,69.3,13.1,9,8920,-3,113
117,Botswana,MEDIUM ,0.693,61.1,12.3,10.3,16198,-43,110
118,Bolivia (Plurinational State of),MEDIUM ,0.692,63.6,14.9,9.8,8111,0,119
118,Kyrgyzstan,MEDIUM ,0.692,70,13.2,11.4,4566,26,121
120,Venezuela (Bolivarian Republic of),MEDIUM ,0.691,70.6,12.8,11.1,4811,20,118
121,Iraq,MEDIUM ,0.686,70.4,12.1,7.9,9977,-12,122
122,Tajikistan,MEDIUM ,0.685,71.6,11.7,11.3,4548,23,126
123,Belize,MEDIUM ,0.683,70.5,13,8.8,6309,6,120
123,Morocco,MEDIUM ,0.683,74,14.2,5.9,7303,1,122
125,El Salvador,MEDIUM ,0.675,70.7,12.7,7.2,8296,-8,124
126,Nicaragua,MEDIUM ,0.667,73.8,12.6,7.1,5625,6,129
127,Bhutan,MEDIUM ,0.666,71.8,13.2,5.2,9438,-15,125
128,Cabo Verde,MEDIUM ,0.662,74.1,12.6,6.3,6230,2,127
129,Bangladesh,MEDIUM ,0.661,72.4,12.4,7.4,5472,4,128
130,Tuvalu,MEDIUM ,0.641,64.5,9.4,10.6,6351,-2,131
131,Marshall Islands,MEDIUM ,0.639,65.3,10.2,10.9,4620,12,131
132,India,MEDIUM ,0.633,67.2,11.9,6.7,6590,-6,130
133,Ghana,MEDIUM ,0.632,63.8,12,8.3,5745,-2,135
134,Micronesia (Federated States of),MEDIUM ,0.628,70.7,11.5,7.8,3696,22,136
135,Guatemala,MEDIUM ,0.627,69.2,10.6,5.7,8723,-20,133
136,Kiribati,MEDIUM ,0.624,67.4,11.8,8,4063,14,137
137,Honduras,MEDIUM ,0.621,70.1,10.1,7.1,5298,-1,138
138,Sao Tome and Principe,MEDIUM ,0.618,67.6,13.4,6.2,4021,13,139
139,Namibia,MEDIUM ,0.615,59.3,11.9,7.2,8634,-23,134
140,Lao People's Democratic Republic,MEDIUM ,0.607,68.1,10.1,5.4,7700,-18,142
140,Timor-Leste,MEDIUM ,0.607,67.7,12.6,5.4,4461,7,140
140,Vanuatu,MEDIUM ,0.607,70.4,11.5,7.1,3085,23,142
143,Nepal,MEDIUM ,0.602,68.4,12.9,5.1,3877,10,144
144,Eswatini (Kingdom of),MEDIUM ,0.597,57.1,13.7,5.6,7679,-21,141
145,Equatorial Guinea,MEDIUM ,0.596,60.6,9.7,5.9,12074,-47,147
146,Cambodia,MEDIUM ,0.593,69.6,11.5,5.1,4079,3,148
146,Zimbabwe,MEDIUM ,0.593,59.3,12.1,8.7,3810,9,145
148,Angola,MEDIUM ,0.586,61.6,12.2,5.4,5466,-14,149
149,Myanmar,MEDIUM ,0.585,65.7,10.9,6.4,3851,5,145
150,Syrian Arab Republic,MEDIUM ,0.577,72.1,9.2,5.1,4192,-2,152
151,Cameroon,MEDIUM ,0.576,60.3,13.1,6.2,3621,6,150
152,Kenya,MEDIUM ,0.575,61.4,10.7,6.7,4474,-6,150
153,Congo,MEDIUM ,0.571,63.5,12.3,6.2,2889,11,153
154,Zambia,MEDIUM ,0.565,61.2,10.9,7.2,3218,7,154
155,Solomon Islands,MEDIUM ,0.564,70.3,10.3,5.7,2482,13,155
156,Comoros,MEDIUM ,0.558,63.4,11.9,5.1,3142,6,156
156,Papua New Guinea,MEDIUM ,0.558,65.4,10.4,4.7,4009,-4,157
158,Mauritania,MEDIUM ,0.556,64.4,9.4,4.9,5075,-20,158
159,Côte d'Ivoire,MEDIUM ,0.55,58.6,10.7,5.2,5217,-22,159
160,Tanzania (United Republic of),LOW,0.549,66.2,9.2,6.4,2664,7,160
161,Pakistan,LOW,0.544,66.1,8.7,4.5,4624,-19,161
162,Togo,LOW,0.539,61.6,13,5,2167,12,163
163,Haiti,LOW,0.535,63.2,9.7,5.6,2848,2,162
163,Nigeria,LOW,0.535,52.7,10.1,7.2,4790,-22,163
165,Rwanda,LOW,0.534,66.1,11.2,4.4,2210,6,165
166,Benin,LOW,0.525,59.8,10.8,4.3,3409,-7,166
166,Uganda,LOW,0.525,62.7,10.1,5.7,2181,6,166
168,Lesotho,LOW,0.514,53.1,12,6,2700,-2,168
169,Malawi,LOW,0.512,62.9,12.7,4.5,1466,13,169
170,Senegal,LOW,0.511,67.1,9,2.9,3344,-10,170
171,Djibouti,LOW,0.509,62.3,7.4,4.1,5025,-32,171
172,Sudan,LOW,0.508,65.3,7.9,3.8,3575,-14,171
173,Madagascar,LOW,0.501,64.5,10.1,5.1,1484,8,173
174,Gambia,LOW,0.5,62.1,9.4,4.6,2172,-1,173
175,Ethiopia,LOW,0.498,65,9.7,3.2,2361,-5,175
176,Eritrea,LOW,0.492,66.5,8.1,4.9,1729,3,176
177,Guinea-Bissau,LOW,0.483,59.7,10.6,3.6,1908,0,177
178,Liberia,LOW,0.481,60.7,10.4,5.1,1289,7,179
179,Congo (Democratic Republic of the),LOW,0.479,59.2,9.8,7,1076,9,180
180,Afghanistan,LOW,0.478,62,10.3,3,1824,-2,177
181,Sierra Leone,LOW,0.477,60.1,9.6,4.6,1622,-1,181
182,Guinea,LOW,0.465,58.9,9.8,2.2,2481,-13,182
183,Yemen,LOW,0.455,63.8,9.1,3.2,1314,1,183
184,Burkina Faso,LOW,0.449,59.3,9.1,2.1,2118,-8,185
185,Mozambique,LOW,0.446,59.3,10.2,3.2,1198,2,184
186,Mali,LOW,0.428,58.9,7.4,2.3,2133,-11,186
187,Burundi,LOW,0.426,61.7,10.7,3.1,732,4,187
188,Central African Republic,LOW,0.404,53.9,8,4.3,966,1,188
189,Niger,LOW,0.4,61.6,7,2.1,1240,-3,189
190,Chad,LOW,0.394,52.5,8,2.6,1364,-7,190
191,South Sudan,LOW,0.385,55,5.5,5.7,768,-1,191
